smiles,index
C/C1=C\[C@@H](O)C(=O)/C=C/C=C\c2csc(n2)[C@@H](C)NC(=O)C[C@@]2(CC1)[S+]([O-])SC(=O)[C@]2(C)O,119
CC[C@H](C)[C@@H](C=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)CN)C(C)C,120
CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,121
CCCNC[C@]1(O)[C@H](C)O[C@@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@](C)(O)C[C@@H](C)CN[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]2C)C[C@@]1(C)OC,122
C/C=C1\C[C@H]2[C@@H](OC)Nc3cc(O)c(OC)cc3C(=O)N2C1,123
COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,124
CC(=O)N(O)CCC[C@H](NC(=O)[C@H](CCCN(O)C(C)=O)NC(=O)[C@@H](N)CCCN(O)C(C)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](C(=O)O)[C@H](O)[C@H]1S[C@@H](n2cc/c(=N\C(N)=O)n(C)c2=O)[C@H](O)[C@H]1O,125
CC1=C/C(O)CC(=O)Cc2nc(co2)C(=O)N2CCC=C2C(=O)OC(C(C)C)C(C)/C=C\C(=O)NC/C=C\1.CCC1NC(=O)C(NC(=O)c2ncccc2O)C(C)OC(=O)C(c2ccccc2)NC(=O)C2CC(=O)CCN2C(=O)C(Cc2ccccc2)N(C)C(=O)C2CCCN2C1=O,126
C=C(NC(=O)C(=C)NC(=O)c1csc(-c2ccc3c(n2)-c2csc(n2)-c2csc(n2)C2C(C)CC(O)N2C(=O)C(Cc2ccc(O)cc2)NC(=O)C2CSC(=N2)C(Cc2ccccc2)NC(=O)c2csc(n2)C(CC(N)=O)NC(=O)c2nc-3oc2C)n1)C(=O)O,127
CC[C@H]1OC(=O)C[C@@H](OC(C)=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,128
